time,co2
0,315.181502142403
1,314.53107128028574
2,315.59874520510624
3,315.54131471679756
4,317.10243614302516
5,316.5623331734122
6,316.6264941193316
7,317.470430327074
8,317.3888743692637
9,318.6682400320614
10,317.73764327928916
11,317.5432113226658
12,317.2616698644154
13,318.37460674879327
14,318.1171615653652
15,317.6483731490223
16,318.87966195868415
17,318.49999065067425
18,317.9948426582124
19,318.49769536659875
20,317.9206359914217
21,316.92276628943426
22,316.53455943413593
23,317.16280543335455
24,316.63613047109635
25,316.1964839247513
26,315.3567510985655
27,315.7523637427369
28,314.74430356557036
29,314.75519201157556
30,315.22930255706217
31,313.89538864190143
32,313.18413739674116
33,313.2181941595517
34,314.04819781566283
35,313.5209974917305
36,313.21051258259934
37,312.94262764506607
38,313.4045533314824
39,312.7454475745049
40,313.3747061620271
41,312.9515472633154
42,313.00612157930624
43,313.3148882056279
44,313.663344679077
45,314.0800528375199
46,314.50835992283317
47,312.8616231140923
48,314.6420052049953
49,315.2104003501944
50,316.5345840264415
51,315.6283886550429
52,316.64139830905
53,317.6991251956339
54,316.681462727889
55,317.9108022740598
56,317.67303359916406
57,318.16187736904885
58,318.32781255774574
59,318.64960359030533
60,320.6299076716342
61,319.9085960129954
62,320.21591765894937
63,320.0488221956964
64,319.0949982280932
65,320.1474789851616
66,320.4945914295478
67,319.4961257152586
68,320.3277120616368
69,320.07853618188665
70,320.4949716200878
71,319.1666407382565
72,318.60056248358455
73,318.7133801855072
74,319.33195501271314
75,317.3996117207066
76,316.96375913514714
77,317.7163076802318
78,317.1187053536129
79,317.01225390582186
80,317.15470889275525
81,316.089900665813
82,315.12932756840337
83,316.8080465384065
84,315.0320178815582
85,314.77494919448066
86,315.6629084091803
87,314.76138736251966
88,314.80325634592634
89,314.998569609752
90,315.2636649292608
91,314.5632696534091
92,315.541849380663
93,313.80927462335444
94,315.3948448904203
95,314.7738681440316
96,316.097184060623
97,315.735489994902
98,315.61417935927295
99,316.59722630631734
100,317.05242465747233
101,317.2871324003017
102,316.8272048873208
103,317.486381397423
104,318.1179635814393
105,318.4909802144409
106,319.27281973058183
107,318.26636404487425
108,319.801333043408
109,319.8292035629751
110,319.8701176665304
111,320.2042888556285
112,320.72168276542203
113,319.2458255247298
114,320.8744039426605
115,320.924918039955
116,321.72451822695547
117,321.10723665874474
118,321.41056972220895
119,322.2539637661088
120,321.90222448796396
121,321.7375037769313
122,320.8790153824756
123,321.2070483841581
124,320.5924190744956
125,320.356147634855
126,320.37901218800454
127,319.57531786691715
128,320.30444854508426
129,319.151544970967
130,319.2091802831298
131,319.2961901988627
132,318.7578798944249
133,317.22172578752713
134,317.8482784313736
135,317.77116545703683
136,317.536563536358
137,316.3078203384294
138,316.34253078381033
139,317.0109110409112
140,316.0140710866024
141,316.16732651938975
142,317.06981128245684
143,316.26610037480765
144,315.9784863087889
145,315.9983658692904
146,316.74131093673634
147,316.0870579188018
148,316.8473804203708
149,317.3910830229817
150,318.16020693555146
151,318.1595797999915
152,317.80879792487764
153,319.1153949976542
154,318.7522954883636
155,318.6705384482093
156,319.5939793203673
