time,passengers
1949-01-31,100.0
1949-02-28,112.2
1949-03-31,122.01332839871631
1949-04-30,127.19999999999999
1949-05-31,126.70614872174387
1949-06-30,121.00000000000001
1949-07-31,112.0
1949-08-31,102.60000000000001
1949-09-30,95.90821063220103
1949-10-31,94.4
1949-11-30,99.21539030917347
1949-12-31,109.79999999999998
1950-01-31,124.0
1950-02-28,138.60000000000002
1950-03-31,150.17025033688162
1950-04-30,156.0
1950-05-31,154.8630706599092
1950-06-30,147.39999999999998
1950-07-31,136.0
1950-08-31,124.20000000000002
1950-09-30,115.75128869403571
1950-10-31,113.60000000000001
1950-11-30,119.05846837100815
1950-12-31,131.39999999999995
1951-01-31,147.99999999999997
1951-02-28,165.0
1951-03-31,178.32717227504693
1951-04-30,184.79999999999998
1951-05-31,183.0199925980745
1951-06-30,173.8
1951-07-31,160.00000000000006
1951-08-31,145.80000000000004
1951-09-30,135.59436675587045
1951-10-31,132.8
1951-11-30,138.90154643284288
1951-12-31,152.99999999999997
1952-01-31,171.99999999999997
1952-02-29,191.39999999999998
1952-03-31,206.48409421321224
1952-04-30,213.6
1952-05-31,211.1769145362398
1952-06-30,200.20000000000013
1952-07-31,184.00000000000003
1952-08-31,167.40000000000003
1952-09-30,155.43744481770514
1952-10-31,152.0
1952-11-30,158.74462449467748
1952-12-31,174.6
1953-01-31,195.99999999999994
1953-02-28,217.79999999999993
1953-03-31,234.64101615137758
1953-04-30,242.39999999999998
1953-05-31,239.33383647440508
1953-06-30,226.60000000000002
1953-07-31,208.00000000000006
1953-08-31,188.99999999999994
1953-09-30,175.28052287953986
1953-10-31,171.20000000000002
1953-11-30,178.58770255651226
1953-12-31,196.2
1954-01-31,219.99999999999977
1954-02-28,244.19999999999993
1954-03-31,262.7979380895428
1954-04-30,271.2
1954-05-31,267.4907584125705
1954-06-30,253.00000000000003
1954-07-31,231.9999999999999
1954-08-31,210.60000000000008
1954-09-30,195.12360094137446
1954-10-31,190.4
1954-11-30,198.43078061834694
1954-12-31,217.80000000000013
1955-01-31,243.99999999999991
1955-02-28,270.59999999999974
1955-03-31,290.9548600277081
1955-04-30,300.0
1955-05-31,295.6476803507358
1955-06-30,279.40000000000003
1955-07-31,256.0000000000003
1955-08-31,232.2000000000001
1955-09-30,214.96667900320918
1955-10-31,209.60000000000002
1955-11-30,218.27385868018143
1955-12-31,239.4000000000001
1956-01-31,267.9999999999999
1956-02-29,297.00000000000006
1956-03-31,319.1117819658734
1956-04-30,328.8
1956-05-31,323.8046022889011
1956-06-30,305.80000000000007
1956-07-31,279.9999999999999
1956-08-31,253.8000000000001
1956-09-30,234.80975706504407
1956-10-31,228.8
1956-11-30,238.11693674201632
1956-12-31,261.0000000000001
1957-01-31,291.9999999999999
1957-02-28,323.3999999999997
1957-03-31,347.26870390403866
1957-04-30,357.59999999999997
1957-05-31,351.96152422706626
1957-06-30,332.2000000000001
1957-07-31,304.00000000000034
1957-08-31,275.40000000000015
1957-09-30,254.65283512687856
1957-10-31,248.0
1957-11-30,257.960014803851
1957-12-31,282.59999999999974
1958-01-31,315.9999999999999
1958-02-28,349.79999999999967
1958-03-31,375.4256258422042
1958-04-30,386.4
1958-05-31,380.1184461652318
1958-06-30,358.6000000000001
1958-07-31,328.00000000000034
1958-08-31,296.9999999999998
1958-09-30,274.4959131887133
1958-10-31,267.2
1958-11-30,277.80309286568564
1958-12-31,304.19999999999965
1959-01-31,339.9999999999994
1959-02-28,376.20000000000005
1959-03-31,403.5825477803693
1959-04-30,415.2
1959-05-31,408.27536810339706
1959-06-30,385.0000000000001
1959-07-31,351.99999999999994
1959-08-31,318.59999999999974
1959-09-30,294.33899125054825
1959-10-31,286.40000000000003
1959-11-30,297.64617092752036
1959-12-31,325.80000000000007
1960-01-31,364.00000000000034
1960-02-29,402.59999999999957
1960-03-31,431.7394697185345
1960-04-30,444.0
1960-05-31,436.4322900415622
1960-06-30,411.3999999999997
1960-07-31,376.0000000000005
1960-08-31,340.2000000000002
1960-09-30,314.1820693123827
1960-10-31,305.6
1960-11-30,317.4892489893553
1960-12-31,347.39999999999964
