year,sunspots
1700,40.98669236219281
1701,89.37227727139204
1702,100.51135861368554
1703,102.19564786410919
1704,73.44544317333482
1705,55.224352620700046
1706,54.588987281277376
1707,11.439883375978173
1708,6.139323348120463
1709,2.79057530062689
1710,5.221676398473647
1711,64.0071563911249
1712,84.5805266407673
1713,130.06615232823376
1714,84.25735139928847
1715,100.12607253572018
1716,44.41346835151647
1717,38.27357067302471
1718,26.860120118234583
1719,0.0
1720,1.4444131186499645
1721,14.519813116580812
1722,39.47064052557306
1723,82.81023065667016
1724,112.29188536406483
1725,97.4918913656093
1726,90.86977513111323
1727,65.80125913796023
1728,35.94042475327476
1729,0.0
1730,17.135596931796776
1731,8.946330754656614
1732,28.89118147725877
1733,37.90235556461623
1734,70.14373490294122
1735,92.83958680206422
1736,76.47920169231386
1737,62.4669638397477
1738,55.07540888249309
1739,43.7511836545645
1740,2.415460433337959
1741,0.0
1742,0.0
1743,16.137822780040405
1744,44.692115557698216
1745,109.51486265587818
1746,111.30090919503566
1747,114.86268377827254
1748,105.31618418181371
1749,49.10431480206087
1750,17.577902933119905
1751,0.0
1752,20.52651990602093
1753,0.0
1754,4.197616393630781
1755,43.53505699670292
1756,73.4529578970604
1757,99.5077988731443
1758,103.25533740472727
1759,75.36477025961038
1760,74.37147372977745
1761,26.325469151676298
1762,9.868376231711439
1763,10.810538963503667
1764,0.0
1765,14.42768777350286
1766,58.875020745396895
1767,64.16604322370436
1768,89.70971941366481
1769,107.82720476469001
1770,118.59886533925264
1771,73.16769541351266
1772,43.00296860277886
1773,20.174545037378042
1774,0.0
1775,6.2523513124726815
1776,22.521461802173885
1777,54.823768105591256
1778,78.7796616599177
1779,101.17709492898256
1780,94.8190641705586
1781,88.6666124782899
1782,45.66919935121694
1783,31.11476298788465
1784,33.075024504936756
1785,5.2910530003772305
1786,4.2045846715279005
1787,51.409808271035104
1788,29.587475325483357
1789,60.39020754108664
1790,121.17227093686995
1791,100.18048613478065
1792,84.14873317336611
1793,46.098562965637186
1794,42.62881615385354
1795,20.37941932519905
1796,0.0
1797,2.414266449017622
1798,17.935221646723903
1799,53.839657196281806
1800,60.24328723947028
1801,114.26081158542323
1802,113.22842881801076
1803,82.33984533672078
1804,60.84034716749594
1805,33.86703990376414
1806,0.5378929871895703
1807,0.0
1808,0.4643447171549111
1809,47.160984687826804
1810,64.19927462495679
1811,91.05186148282927
1812,101.0304839627917
1813,82.73116696007817
1814,87.16511214905235
1815,78.64395473627222
1816,17.039402717419076
1817,21.760819385386327
1818,35.34806628489489
1819,20.44564992212002
1820,44.178396160649385
1821,53.27508125663263
1822,91.55102010425445
1823,84.7138015524153
1824,111.42902927916504
1825,97.60330072862472
1826,68.43529545263613
1827,55.65348345370622
1828,4.130748714576306
1829,0.0
1830,5.950330852648339
1831,7.523794560879452
1832,53.40397915700357
1833,51.24808467847218
1834,111.18591778414884
1835,100.19063259253619
1836,79.9740851591566
1837,51.571023657644716
1838,32.3946867136406
1839,22.53641694387358
1840,8.725012587016815
1841,0.0
1842,10.277364037805635
1843,59.85348059479491
1844,66.19682980355415
1845,96.38024637891839
1846,101.3473917319108
1847,92.4684106936139
1848,76.96068429479928
1849,16.96892810491892
1850,0.0
1851,0.0
1852,31.541326349756666
1853,53.300570628530515
1854,77.46765703348814
1855,74.13732035636953
1856,68.74987353795325
1857,64.34548556926909
1858,78.57690629447191
1859,61.11552338983116
1860,55.422753173767816
1861,25.229603175424074
1862,3.9200040908277227
1863,0.0
1864,8.55626575354618
1865,53.81191530607099
1866,87.48780555537606
1867,101.35981870140989
1868,83.97210269994682
1869,97.54749314959413
1870,70.47529234859309
1871,19.853376065076116
1872,0.4477067277833342
1873,10.83636752437696
1874,1.000787205085505
1875,46.80516865176668
1876,57.516939140967736
1877,69.73257304994081
1878,95.328515761862
1879,100.44182298361235
1880,76.86162401908743
1881,50.39780486940718
1882,46.43422056507095
1883,24.891620737918846
1884,9.565649949247794
1885,27.24817164713074
1886,14.841360587045484
1887,75.1140614910671
1888,63.518224094467854
1889,80.29131631719842
1890,73.09168886180788
1891,81.10054901031062
1892,56.53079278963013
1893,43.80243136174857
1894,15.870885406593949
1895,0.0
1896,0.0
1897,17.396028810904518
1898,23.3602662955721
1899,62.31783996757929
1900,83.91939530851461
1901,120.9954473913608
1902,90.65923945707338
1903,74.0191591512841
1904,13.433839700690989
1905,30.125738527497305
1906,20.025458851314806
1907,0.0
1908,12.388208268482364
1909,57.43648359523277
1910,86.69786767585285
1911,85.30417881041748
1912,94.90858014824185
1913,78.82676280203573
1914,65.74289854626376
1915,53.87105012985754
1916,0.6468889251691365
1917,15.521235372479675
1918,0.0
1919,10.253550939767116
1920,62.27891927514867
1921,90.86108654289406
1922,108.25274881916577
1923,79.75411097077458
1924,80.79821404663237
1925,76.43145672212214
1926,36.53649976638761
1927,0.0
1928,7.3836969928350396
1929,0.0
1930,49.88583185310325
1931,73.17262193627397
1932,86.09350226811361
1933,115.8967003392727
1934,100.46294234589747
1935,99.26904113333859
1936,86.25243227160311
1937,39.59585238484355
1938,8.384713709572965
1939,0.0
1940,3.2713973464511326
1941,35.319306895655025
1942,64.18450141351488
1943,84.59751685855653
1944,87.36211334329204
1945,69.83874855983285
1946,80.3592522476421
1947,59.52145477626238
1948,31.219437650078323
1949,21.49086663695679
1950,30.294074071176116
1951,6.37133825989067
1952,19.71698228987372
1953,46.111672804937974
1954,78.8978123763952
1955,83.0571933624998
1956,101.29405047523748
1957,94.54966376268992
1958,67.23191879568864
1959,42.77650116800128
1960,18.718735422515724
1961,0.0
1962,14.071452608205464
1963,12.902736442282935
1964,33.56241255494034
1965,60.465263454954815
1966,101.98472392481386
1967,96.15244818567382
1968,62.55794695793245
1969,71.25719506995661
1970,14.319250195946829
1971,14.309841660060638
1972,4.08641179104924
1973,17.802056457699642
1974,49.6932309242228
1975,29.529855111491926
1976,76.24493303183432
1977,91.3365703420628
1978,105.9973173834612
1979,91.02251028171766
1980,58.79843420102274
1981,29.299839328766073
1982,0.0
1983,15.326851642051016
1984,11.406462956267049
1985,36.73448209414738
1986,45.344057952867686
1987,67.1795088423627
1988,79.30687376828719
1989,104.87483585015661
1990,72.19058034978966
1991,91.81657387656996
1992,16.29873344152697
1993,16.31742307047548
1994,24.01174851416012
1995,13.504746621231389
1996,25.603064814597296
1997,35.472745295570874
1998,56.30550304426389
1999,107.03235140148956
2000,122.08328070567087
2001,81.20472886054037
2002,47.00070522782748
2003,0.0
2004,0.0
2005,0.0
2006,28.50524884482482
2007,33.06496451071422
2008,54.576281070600956
