time,DAX,SMI,CAC,FTSE
0,98.63404426814841,99.98412845892283,99.62082164141837,99.1773366157364
1,98.25931204478846,100.37750284288931,99.90943672376056,98.90236291179053
2,97.96231659435628,101.05769344862514,99.88456933283362,98.03953189580078
3,97.2184110361941,101.89411267566658,100.08704155011627,98.11116886268348
4,97.10057047082815,102.62703701053985,99.4384709915243,97.6435347060329
5,97.53270512471904,102.78879867903457,100.6305862816207,96.36828041608332
6,99.42957632510465,102.59696216544056,99.47382225892561,97.49230172685911
7,99.64315920407506,102.46210719962825,99.97999536691376,97.08572640061777
8,99.94008935294876,102.27386283011315,101.188896309813,96.01276335866638
9,99.9056700023242,103.72668242793284,101.69703126247931,95.89624272920683
10,98.04619338349664,104.52037900940188,101.51157884150494,95.98406097442235
11,98.059416906904,100.94717934106913,100.99690762164981,94.51550977505015
12,98.15775133850806,101.79573552668515,102.06917556966593,94.82648753766325
13,100.64588964410804,102.0849231593127,100.64716915158449,93.96518642804055
14,100.49266135532511,102.11305091167071,99.69542451819395,95.45201073587836
15,100.83647818381296,101.68891706396923,99.31972638611933,95.93196673710445
16,100.84181078999946,103.12147610835292,100.57671235459166,95.6159990851919
17,99.71003051149209,104.35285474437225,100.97959025115442,95.00539225511902
18,100.8964261478166,103.44121274475194,100.02678119817978,94.94416112897594
19,101.69863054351183,103.99970743137594,99.73681684299409,95.49788091569982
20,102.547300126526,102.84553528215295,99.1458158248381,95.50461880035908
21,101.6596309971055,101.20749214694247,98.46427220980368,95.34674379667003
22,103.13700245727604,100.4994425271815,99.45275022664659,95.42546905707839
23,101.74195091619922,101.59566858102875,98.11744975698991,94.93674081963641
24,102.3817307103906,102.81573471143359,99.72865386691025,94.67234502467626
25,104.69096729649259,103.50246488592605,100.57817979062172,92.93959801141523
26,103.70055618899956,104.45920132057323,101.70169302427989,93.78578835669047
27,103.15621619716961,105.16081149873531,101.25221224035587,94.06655037673328
28,103.30037589832803,104.40660476600854,101.12072983078168,93.44204568781548
29,102.82271158937633,105.0016440890371,99.70178990340638,95.08108242003942
30,101.28108023503512,106.068055628617,99.19989994076899,95.18412513025743
31,101.39109369479118,107.08601802592447,99.7107559307433,94.32892561095868
32,100.35984898634621,108.67908645995354,101.03168542514216,95.08759502870045
33,100.8766154749956,109.66157417341242,99.9392615099779,95.45748390567542
34,99.99337149504152,110.18011143129347,99.59456125091465,95.82582048168129
35,101.59590637944207,111.65996274782431,99.46388017898636,95.48797975075796
36,100.84359072913398,111.68025821960417,98.10483707605994,95.90468508887062
37,100.55955054047405,110.55989997813649,98.70643731919279,95.70772440454081
38,101.42151690090596,110.39895318384171,98.0139937712764,96.21665610290627
39,100.220887370258,109.47123492856394,97.84223734952342,94.60950843089654
40,100.4892968740146,108.64217465993906,97.42051987851235,94.26906827635804
41,101.85219060640327,108.50816858905179,96.67390199861042,95.77029058015184
42,100.2681220329906,107.53500447955548,96.68642692793654,95.13994477810337
43,100.49361135225145,107.19192070878738,96.49748387129497,94.6526964506501
44,100.79542672201325,104.83602924083795,96.15854650669144,94.30014373342482
45,101.62719976161969,105.15726880915246,95.47970760461543,93.30273846762856
46,100.41802333100233,105.21138253615234,95.80443572161231,91.49414046926694
47,99.14041120109958,104.23692466035615,97.42132785409142,91.33185706404349
48,99.69909063578675,105.11735344551869,97.57721670937153,91.47103720300032
49,100.03562801179791,106.35985675321933,98.57377109279055,91.45525563802151
50,100.32664684877857,104.37993893516764,97.23230320082207,91.36348913166697
51,100.7151074953343,103.48066708909653,97.40529845632423,91.42631104403944
52,100.07256431996636,102.58124262979227,96.36151740906618,92.29951411304546
53,100.34538679228704,101.48147387640876,94.96777994878394,92.16909338365427
54,100.6801668745708,102.54789487747111,94.28706028043722,91.72161982839937
55,100.00351281892456,102.36082211619933,95.43667656213627,91.51729666892895
56,101.92763071478339,102.08745672461488,96.36693194919194,92.02332797822633
57,102.45271631294048,99.71174928429858,96.6207151152846,93.22820939388447
58,101.27993867629822,100.52520909078582,95.1701321658202,92.73046488724017
59,101.98787044378194,99.09088229732897,95.00251342002609,92.84091733976662
60,101.03904964756265,99.21176674068842,95.3086286364934,93.15201039943699
61,101.87819350218112,99.5923293283887,95.4951738577012,92.35127171413893
62,103.10664842171,101.2824400270194,93.76932480422505,92.39595786555746
63,102.30484688210551,99.75400498705945,92.95677464790263,91.21251986965879
64,103.33651640224912,96.25231832201696,92.91581040873668,89.79871936137418
65,103.80546529348536,96.51314858957815,93.43413296952355,90.12264202406648
66,104.70419910096716,98.67043801549752,91.422850219473,89.83876459764366
67,106.75186822850917,100.19845248707988,91.29300872005031,90.02947195259837
