concentration,root_length
0.1,8.181341461656594
0.5304347826086957,7.884222618619144
0.9608695652173913,7.799503038606938
1.3913043478260871,7.3826742543026125
1.8217391304347827,6.531763652901142
2.2521739130434786,5.516352616255183
2.682608695652174,4.559058599950407
3.11304347826087,3.5209524246741357
3.5434782608695654,3.4013154198596505
3.973913043478261,3.153373954922455
4.404347826086957,2.3177378322408035
4.834782608695652,2.4368750147648375
5.265217391304348,1.1169060383540284
5.695652173913043,0.9945575247762564
6.126086956521739,1.4061931380026422
6.556521739130434,1.0716909088927595
6.98695652173913,1.256404430304558
7.417391304347826,0.749204640976519
7.8478260869565215,0.4025159553928202
8.278260869565218,0.5220600104834152
8.708695652173914,0.061112005783080126
9.139130434782608,0.12659552961156906
9.569565217391304,0.7089859429996932
10.0,0.6376697411905472
